Owner ,Include,Startup Name,Description,Website,Financial Instrument,Customer,Consolidated Tag,Tag,Objective,Maturity (new),Funded,Funding Round,Funding amount ($),Country,Founded Year,Employees,Complete,Hero,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity,0.4,0.6,0,Text to no.conversion,,,Consolidated Customer,API Integration,Financial/Non-Financial
Eddie,TRUE,Digs,"Digs is a savings management app. Enables users to save for multiple costs related to home purchase such as title insurance, real estate lawyer, loan origination fee, closing costs and down payment. Features include contribution matching; home buyer milestones; down payment calculator; expert content & advice; home buyers checklist; lender recommendations; account support; joint account and FDIC insured up to $250,000. Agents can automatically send their customers relevant content depending on where they are in the saving processes.",https://digs.co/consumers/,Savings,Millennials,Goal Based Savings,Home Savings,"Makes it easier for the user to save on multiple costs related to home purchase such as title insurance, real estate lawyer, loan origination fee, closing costs and down payment",Nascent,Yes,Seed,"100,000",USA,2018,3,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Eddie,TRUE,First Rung,First Rung provides a saving management platform for individuals. It enables users to invest in diversified portfolio of assets. It helps in investing spare change amount for micro-investments.,https://first-rung.com/,Savings,Millennials,Asset Management,Asset Management,Enables easier saving through diversified portfolio of high quality assets,Nascent,Yes,Undisclosed,,Australia,2016,16,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Eddie,TRUE,Huuti,"Huuti provides a savings solution for the mortgage deposit. Users can set a property target, see eligible government & private home buying schemes and save for the mortgage deposit. The solution helps users to save on their monthly expenses. They can also save money with a co-buyer. Also provides the user's credit score and report and insights on how to improve the credit score. Also offers a debt management solution, mortgage management solution and articles on financial education.",https://huuti.co.uk/,Savings,Millennials,Goal Based Savings,Home Savings,Help young UK millennials get on the property ladder,Nascent,No,Unfunded,,United Kingdom,2016,13,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Eddie,TRUE,Indexa Capital,"IndexaCapital is an investment management platform focused on funds, pension plans, and EPSV plans. It provides tools to recommend investment plans based on user profiles. Also, offers insights and alerts on current trends in the market to users.",https://indexacapital.com/es/esp/,Investments,Working Class,Savings Management,Personal Savings,Helps users save more money,Nascent,No,Seed,"2,160,000",Spain,2015,20,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Eddie,TRUE,PensionBee,"PensionBee is an online pension platform that finds old pensions and combines them into a single pension plan. The automated system utilises a limited amount of readily-accessible personal information and, through a series of algorithms, locates a saver's existing pension pots, produces a summary snapshot and allows the saver to easily combine their pensions into a good-value online plan. The investments are professionally managed by the best asset managers.",https://www.pensionbee.com/,Pensions,All,Pensions Plan,Pensions Transparency,Provide transparency and control over pension,Emerging,Yes,Series A,"1,500,000",United Kingdom,2015,69,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Eddie,TRUE,Abaka,Abaka is an AI based personal financial advisor and saving platform that helps employees to develop financial knowledge related to savings and investments. It helps employees to manage pension plan through smartphones.,https://abaka.me/,Savings,Banks,Goal Based Savings,Retirement Solutions,Provides an AI driven digital savings and retirement solutions platform,Nascent,Yes,Series A,"10,000,000",United Kingdom,2016,40,Yes,,,,,,,,,,,,,Banks,Yes,Financial
Eddie,TRUE,Bud,Bud offers a full stack of open banking API services that allow customers to connect financial data from different sources and combine them,https://www.thisisbud.com/,Aggregator,Banks,Savings Management,Account Aggregators,Use open banking to consolidate accounts and provide an aggreagted view of financial data,Emerging,Yes,Series A,"22,500,000",United Kingdom,2015,146,Yes,Yes,,,,,,,,,,,,Banks,Yes,Financial
Eddie,TRUE,InvestSuite,"InvestSuite offers white label robo advisors and wealth management solutions. Assists users in managing front-end processes, portfolios, access research, onboarding, technical support, measure performance, and optimise investments. It provides tools for brokers, wealth managers, pension funds, banks, financial advisors, and insurance companies.",https://www.investsuite.com/,Savings,Banks,Savings Management,Account Aggregators,WealthTech as a service,Emerging,Yes,Seed,"6,580,000",Belgium,2018,33,Yes,Yes,,,,,,,,,,,,Banks,Yes,Financial
Eddie,TRUE,Vantik,"Vantik provides a robo-advisory platform which helps in retirement planning of users. It provides a pension plan according to the need and risk appetite of the investor. It invests the funds into asset classes such as equities, bonds, real estate, commodities, and liquidity. Also invests in low-cost index funds to exclude the risk.",https://www.vantik.com/,Pensions,Millennials,Savings Management,Personal Savings,Help users save money easily via a robo advisor,Nascent,Yes,Seed,"990,000",Germany,2017,13,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Eddie,TRUE,Better Trade Off,"BetterTradeOff is a practice management solution for financial planners. Features include Customer onboarding, KYC, portfolio simulator, CRM, pension & tax management. The platform is a SaaS product and is used by customers for product gap analysis ,life planning simulation, and customer management.",https://bettertradeoff.com/,Savings,Millennials,Goal Based Savings,Life Planning,Offer a life planning platform that assists clients in reimagining the future,Nascent,Yes,Seed,"1,480,000",Singapore,2015,29,Yes,Yes,,,,,,,,,,,,End Consumer,No,Financial
Eddie,TRUE,Money Box,Moneybox is a mobile application that allows users to save on an ongoing basis and invest it. Users can link their cards to the app. The app then rounds up the user's expenses and invests the change in various stocks.,https://www.moneyboxapp.com/,Savings,Millennials,Automated Savings,Autosaving Application,Autosave money through rounding up spend to nearest whole,Mature,Yes,Series B,"28,300,000",United Kingdom,2015,110,Yes,Yes,,,,,,,,,,,,End Consumer,No,Financial
Eddie,TRUE,Plum,"Plum is personal savings assistant that monitors income, daily expenses and spending patterns. It monitors user current account and every few days transfers some money from it to Plum savings.",https://withplum.com/,Savings,Millennials,Automated Savings,Autosaving Application,Automatically save money based on customers spending habit using AI,Nascent,Yes,Series A,"9,890,000",United Kingdom,2016,49,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Eddie,TRUE,Chip,"Chip is a savings bot that  automatically saves based on recent spending. The user will have to connect their bank account, while the algorithm automatically analyzes the spending and small savings (on average £5 to £15) are then automatically transferred to Chip savings account. The saved money can then be transferred back to bank account.",https://www.getchip.uk/,Savings,Millennials,Automated Savings,Autosaving Application,Auto saves money based on user spending,Emerging,Yes,Series A,"18,400,000",United Kingdom,2016,77,Yes,,,,,,,,,,,,,End Consumer,No,Financial
Eddie,TRUE,Cleo AI,Cleo is an intelligent personal financial advisor. It knows when user's bills need to be paid and how to optimise spending each day. Cleo goes beyond pie charts to give real insights into user's spending. Cleo analyses spending habits to make smart recommendations of how they can save money. The site is currently running in private alpha.,https://www.meetcleo.com/,Savings,Millennials,Robo Advice,Interactive Chatbot,Help users feel better about finances using an interactive chatbot,Emerging,Yes,Series A,"15,000,000",United Kingdom,2015,74,Yes,Yes,,,,,,,,,,,,End Consumer,No,Financial
Eddie,TRUE,Youtility,"Youtility is a personal financial management platform. Users can link their bank accounts with the platform. They can track & manage their income, expense and bills on the platform. The app is available for iOS platform.",https://youtility.co.uk/,Aggregator,Banks,Savings Management,Personal Savings,Provides financial peace of mind by using behavioural science and technology to help users save more,Emerging,Yes,Series A,"5,830,000",United Kingdom,2016,30,Yes,,,,,,,,,,,,,Banks,Yes,Financial
